PlayerName,PitchUID,PitchNo,Date,Time,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Batter,BatterId,BatterSide,TaggedPitchType,PitchSession,Flag,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,HitType,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,ContactPositionX,ContactPositionY,ContactPositionZ,CalibrationId,EffVelocity,PracticeType,Device,file_pk,pitcher_session_pk,update_time
Juan Abreu,e1790cfe-2d68-406e-9c33-924cf4c7b0e8,1,2/11/2026,12:53:51,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Fastball,Live,NA,NA,93.8907,-2.67241,0.252531,2354.91,219.892,1:15:00,5.55628,0.91772,5.59925,-15.636,16.8649,14.107,1.75688,2.32903,84.4686,-5.6044,2.91629,0.410317,-7.48036,9.93158,-0.94825,50,5.31768,-1.10043,-136.298,-6.91578,-13.8103,35.1431,-13.8384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,91.8618,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,d6e28f5f-ed1b-4c6c-81d0-97b4d155d3a5,2,2/11/2026,12:54:09,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Fastball,Live,NA,NA,93.6431,NA,NA,2377.83,NA,NA,5.67048,1.05056,5.12272,NA,NA,NA,2.59033,-0.34103,84.2411,-4.69068,-0.0833676,0.414681,-8.32552,10.4703,-0.80507,50,5.47324,5.9288,-135.778,-5.2603,-15.3209,33.6783,-12.9062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,90.8949,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,8f2a7e59-9cbc-44f6-abeb-e1fdb6767d2c,3,2/11/2026,12:54:28,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Fastball,Live,NA,NA,94.9209,-3.15614,-2.82711,2446.21,219.065,1:15:00,5.52723,0.92859,5.35366,-16.0497,16.1691,13.1126,1.22352,-0.63194,85.1716,-6.15993,-0.361481,0.408532,-7.91296,9.64898,-0.68359,50,5.23207,6.3026,-137.502,-8.18803,-14.8643,35.8414,-14.0487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,92.2631,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,87603967-702e-4881-8cf0-34718530c73f,4,2/11/2026,12:54:54,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Slider,Live,NA,NA,83.0675,-0.123375,-0.916913,2662.72,82.5498,8:45:00,5.64025,0.91325,4.85862,-44.2009,-1.70417,-12.7592,1.84007,-1.01784,75.4459,-8.28063,-3.28884,0.46919,6.36481,-0.84982,-0.81252,50,5.59187,2.37932,-120.577,-1.81698,9.23369,26.6342,-33.4069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,80.3351,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,bfbf7931-5a7e-4630-9d5e-56ba42fde8dd,5,2/11/2026,12:55:15,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Fastball,Live,NA,NA,95.966,NA,NA,2502.98,NA,NA,6.31046,0.92922,5.15705,NA,NA,NA,1.5434,0.02738,85.4504,-4.72998,0.154769,0.407044,-6.58823,20.4515,-0.75564,50,5.81371,4.28769,-138.631,-12.829,-12.5439,37.2419,6.76548,NA,NA,NA,NA,NA,LineDrive,78.8037,19.8846,24.5696,NA,NA,NA,NA,227.97,80.0528,33.4429,2.78126,1.46176,1.60628,-0.05082,2f8b1c1f-26a6-452e-b7e5-7289496419d6,92.6003,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,e71f6180-788f-4d09-b62f-73fee4cfcb79,6,2/11/2026,12:55:52,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Slider,Live,NA,NA,83.4097,NA,NA,2767.45,NA,NA,5.64042,0.81196,4.98444,NA,NA,NA,1.62213,0.0791,76.3776,-8.50415,-1.71682,0.464216,5.07057,-1.28693,-0.8116,50,5.57167,0.17781,-121.201,-2.28968,7.49856,24.9728,-34.0772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,81.1958,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,1202af6d-2c80-4fcc-96df-b44d93c48d89,7,2/11/2026,12:56:13,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Slider,Live,NA,NA,81.6033,4.47006,0.0167176,2733.99,11.8731,6:30:00,5.49082,1.31439,4.93724,-51.647,-7.79296,-1.62576,5.41973,1.19471,73.8482,-5.09901,-0.285212,0.476624,0.85408,-5.40583,-1.31471,50,5.88405,0.02137,-118.197,7.46568,1.19976,24.0022,-39.7678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,79.0821,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,c8539a9b-323b-4c72-bfdf-f505caf8af82,8,2/11/2026,12:56:37,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Fastball,Live,NA,NA,94.6129,-2.29789,-0.985051,2457.08,215.554,1:15:00,5.60387,0.88067,5.27911,-13.8428,18.2506,13.0481,2.29102,1.04292,85.7541,-4.87398,1.45385,0.407736,-7.19646,10.3437,-0.80028,50,5.38446,1.86766,-137.394,-6.03893,-13.6441,32.7564,-12.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,92.4433,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,6536c8ac-6346-4346-a313-fee06c441254,9,2/11/2026,12:56:56,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Fastball,Live,NA,NA,95.9613,NA,NA,2476.06,NA,NA,5.63193,0.48768,5.40773,NA,NA,NA,2.84982,0.22919,86.1245,-4.10792,-0.0694345,0.402584,-1.2588,11.1594,-0.44814,50,5.45135,1.04302,-139.333,-5.15885,-2.43115,36.4307,-10.6215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,93.6262,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
Juan Abreu,6f00670c-b406-44ba-ac25-d13a584b32da,10,2/11/2026,12:57:19,693791,Right,EST_WAS,NA,"Cabrera, Manuel",806999,Right,Fastball,Live,NA,NA,97.3094,NA,NA,2399.64,NA,NA,5.97917,0.85105,5.49516,NA,NA,NA,3.66069,0.32657,87.403,NA,NA,0.396148,-8.79655,12.7958,-0.69304,50,5.81557,4.17332,-141.269,-4.75888,-17.5004,36.8464,-6.71725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2f8b1c1f-26a6-452e-b7e5-7289496419d6,95.1474,LiveBpPitching,25470026,555097,15401,2/11/2026 18:05
