"PlayerName","PitchUID","PitchNo","Date","Time","PitcherId","PitcherThrows","PitcherTeam","PitcherSet","Batter","BatterId","BatterSide","TaggedPitchType","PitchSession","Flag","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","SpinAxis3dTransverseAngle","SpinAxis3dLongitudinalAngle","SpinAxis3dActiveSpinRate","SpinAxis3dSpinEfficiency","SpinAxis3dTilt","HitType","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","ContactPositionX","ContactPositionY","ContactPositionZ","CalibrationId","EffVelocity","PracticeType","Device","file_pk","pitcher_session_pk","update_time"
"Victor Farias","93503118-e085-4394-802e-91381e37f2b1",1,"2026-02-11","2026-02-11 12:40:00",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","Fastball","Live",NA,NA,94.5954,NA,NA,2369.27,NA,NA,5.81451,1.16425,5.5516,NA,NA,NA,1.6615,-0.44718,83.6354,NA,NA,0.411088,-4.74823,12.2268,-0.96465,50,5.51709,5.39798,-136.957,-8.4515,-8.71454,39.7413,-9.73394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",91.6895,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","35ba3ec3-f464-472b-a213-f5de324c4f32",2,"2026-02-11","2026-02-11 12:40:29",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","Fastball","Live",NA,NA,93.9659,-1.40692,-2.6424,2352.83,205.113,"12:45:00",5.33925,0.90378,5.59171,-15.8567,16.9136,7.94215,2.70272,-0.90302,83.4624,-4.41088,-1.13561,0.412013,-5.22476,9.59896,-0.68233,50,5.20861,6.00971,-136.271,-3.90826,-9.54547,37.8714,-14.6371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",91.4835,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","a49fe51b-139c-414d-b5b4-98d6ff8a1e77",3,"2026-02-11","2026-02-11 12:40:51",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","ChangeUp","Live",NA,NA,81.4398,-1.34634,-1.55905,1468.9,243.149,"02:00:00",5.21593,0.63709,6.11568,-35.922,6.44358,12.7826,0.97713,0.26071,73.5418,-8.14951,0.881158,0.468466,-7.51168,3.97616,-0.52439,50,5.09433,2.86392,-118.375,-3.78902,-10.4402,26.9144,-26.6478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",80.4593,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","8c7f8e1b-b765-4a67-9923-d88b256a0c06",4,"2026-02-11","2026-02-11 12:41:18",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","ChangeUp","Live",NA,NA,82.7316,NA,NA,1494.11,NA,NA,5.51634,1.14917,6.14294,NA,NA,NA,2.07663,0.17045,74.4624,NA,NA,0.461364,-11.089,2.46208,-0.95082,50,5.46713,5.20965,-120.189,-1.88039,-15.8706,27.9774,-28.6503,NA,NA,NA,NA,NA,"Popup",79.7839,68.115,18.9335,NA,NA,NA,NA,95.9287,22.4798,30.9984,5.8342,1.69934,2.01114,-0.24716,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",81.6979,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","86fb6806-8b5f-48bd-b154-79331d68676a",5,"2026-02-11","2026-02-11 12:42:18",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","Fastball","Live",NA,NA,92.0409,NA,NA,2282.86,NA,NA,5.78028,1.03204,5.46868,NA,NA,NA,3.53007,0.06166,81.5849,NA,NA,0.421592,-5.54496,15.015,-0.87581,50,5.62241,3.98557,-133.493,-4.32106,-9.716,36.4902,-5.86445,NA,NA,NA,NA,NA,"GroundBall",65.2306,-36.1457,-56.5242,NA,NA,NA,NA,7.50128,8.09147,-32.7461,0.0628207,3.62392,3.57342,-0.08321,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",89.405,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","5dcf59b0-0372-4256-9dd9-f4e04cd8928c",6,"2026-02-11","2026-02-11 12:42:40",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","Slider","Live",NA,NA,79.4282,-1.30189,-2.40074,2165.79,68.0163,"08:15:00",5.05349,0.82057,5.09389,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95967,-1.91402,-0.5857,50,4.89211,5.18322,-115.174,-4.26647,6.52605,25.4588,-34.6926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",NA,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","60f883a4-cb3e-43aa-a2e6-02bbb1c54bda",7,"2026-02-11","2026-02-11 12:43:01",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","Fastball","Live",NA,NA,94.4994,-4.38869,-4.9706,2362.19,212.436,"01:00:00",5.1948,0.89236,5.80852,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.21925,11.7734,-0.49147,50,4.8257,11.4555,-136.429,-10.9648,-15.1405,36.3486,-10.4865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",NA,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","da33b79f-89f3-435a-8b55-154643c12c23",8,"2026-02-11","2026-02-11 12:43:26",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","Fastball","Live",NA,NA,92.96,-2.95543,-3.43292,2334.44,217.134,"01:15:00",5.24261,0.86447,5.64724,-14.5442,18.7167,14.1673,1.26691,-1.16035,83.2924,-5.69683,-0.755527,0.415086,-8.76488,11.0502,-0.58225,50,4.98264,7.58736,-134.674,-7.46993,-15.7807,34.6132,-12.2788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",90.8063,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","c706649e-6531-4607-9ce4-ca3dcadf965a",9,"2026-02-11","2026-02-11 12:43:56",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","ChangeUp","Live",NA,NA,82.2477,0.439921,-1.93969,1486.25,252.075,"02:30:00",5.28832,0.85913,5.83111,-36.3783,5.94781,18.5215,2.6659,0.59914,73.3756,-6.47029,1.59288,0.468248,-10.744,3.06399,-0.7117,50,5.30325,3.49676,-119.422,-0.15822,-15.0675,29.1865,-27.8771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",80.4968,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
"Victor Farias","94681b8a-f030-42e1-8d4a-6e616eea7639",10,"2026-02-11","2026-02-11 12:44:14",693756,"Right","EST_WAS",NA,"Cabrera, Manuel",806999,"Left","ChangeUp","Live",NA,NA,84.3651,-3.49444,-3.03763,1712.5,232.668,"01:45:00",5.13487,0.88758,6.08098,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.94409,7.99981,-0.6617,50,4.85044,6.01435,-122.295,-8.2725,-14.7454,28.8151,-20.3117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1bdfe805-a3b5-4ea2-93dc-ec889c365e4f",NA,"LiveBpPitching",22170003,555092,15387,"2026-02-11 17:19:54"
