"PlayerName","PitchUID","PitchNo","Date","Time","PitcherId","PitcherThrows","PitcherTeam","PitcherSet","Batter","BatterId","BatterSide","TaggedPitchType","PitchSession","Flag","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","SpinAxis3dTransverseAngle","SpinAxis3dLongitudinalAngle","SpinAxis3dActiveSpinRate","SpinAxis3dSpinEfficiency","SpinAxis3dTilt","HitType","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","ContactPositionX","ContactPositionY","ContactPositionZ","CalibrationId","EffVelocity","PracticeType","Device","file_pk","pitcher_session_pk","update_time"
"Jean Robles","24b25672-1c2c-4f13-89b1-c1259e692a82",1,"2026-02-13","2026-02-13 10:17:01",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"Fastball","Live",NA,NA,88.8342,-1.99124,-3.37158,2201.5,203.018,"12:45:00",5.59452,2.25158,6.24623,-20.9162,14.5441,6.1933,2.01135,-0.34503,79.9715,-5.96726,-2.19065,0.42859,-4.51292,8.6386,-2.00409,50,5.43618,7.41274,-128.958,-5.11466,-7.4634,31.3011,-17.8877,NA,39.2768,1704.17,0.774097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",87.9452,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","1a27e0d3-5fc4-4f8e-b673-0274987bc1b0",2,"2026-02-13","2026-02-13 10:17:15",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"Fastball","Live",NA,NA,88.5622,-1.38317,-2.41871,2210.23,204.219,"12:45:00",5.48937,2.41949,6.38461,-16.6417,19.2691,8.68214,2.82903,0.91709,78.4117,-4.58887,-0.743109,0.431305,-5.71946,11.1878,-2.24966,50,5.38239,5.18519,-128.622,-3.58326,-9.2587,35.0381,-14.0632,210.655,34.8906,1812.93,0.820246,"01:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",87.3917,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","0a36f940-4e60-4930-804a-1334fbdf99cb",3,"2026-02-13","2026-02-13 10:17:28",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"Fastball","Live",NA,NA,88.8415,-1.41055,-2.89816,2172.68,202.395,"12:45:00",5.45344,2.01981,6.50653,-17.7843,17.4821,7.21911,2.67515,-0.04026,79.3454,-4.82717,-1.50891,0.427417,-5.0257,10.1954,-1.82083,50,5.34731,6.3315,-129.073,-3.68218,-8.26499,33.163,-15.4072,NA,34.2182,1796.6,0.826902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",88.1865,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","dfdad70b-21c1-4f7b-a867-7238fdedd39c",4,"2026-02-13","2026-02-13 10:17:41",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"Fastball","Live",NA,NA,90.1878,-1.35561,-1.08177,2317.71,216.213,"01:15:00",5.57454,2.20495,6.46959,-18.3734,16.1465,11.8391,2.79816,2.19807,79.824,-4.9008,1.2104,0.422869,-6.99027,9.48774,-2.13404,50,5.47116,2.13756,-131.086,-3.62671,-11.7308,36.876,-16.252,NA,27.3633,2058.38,0.88811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",89.135,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","592046d2-0234-411a-a11a-306aaf9ed77b",5,"2026-02-13","2026-02-13 10:17:58",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"ChangeUp","Live",NA,NA,85.0276,-1.09648,-3.77718,2360.49,256.711,"02:30:00",5.35779,2.49234,5.69769,-34.8407,5.12812,21.7803,1.43042,0.78294,75.841,-7.68555,0.363969,0.455022,-13.1304,3.16749,-2.18856,50,5.24461,7.45409,-123.205,-3.45077,-19.5903,31.1664,-27.4482,NA,31.3969,2014.87,0.853579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",82.8366,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","4c8ddbdd-028d-49bd-9298-ec97fc8b4131",6,"2026-02-13","2026-02-13 10:18:12",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"ChangeUp","Live",NA,NA,81.8171,-2.59974,-6.36343,2326.62,273.422,"03:00:00",5.34794,2.44784,5.77841,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.351,0.35397,-1.93243,50,5.10617,12.6103,-118.03,-6.70427,-16.9804,27.7854,-31.6874,NA,37.7247,1840.27,0.79096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",NA,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","b8bb36fb-b648-4a4c-a398-308e964cb2f4",7,"2026-02-13","2026-02-13 10:18:35",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"Fastball","Live",NA,NA,90.7881,0.0243004,-2.08457,2231.6,227.425,"01:30:00",5.43355,2.21981,6.46508,-20.7074,13.2711,14.4858,3.73026,1.51177,80.4931,-3.97132,0.714279,0.41954,-8.81544,7.3544,-2.07935,50,5.42618,4.38555,-131.957,-0.54085,-15.0442,36.4776,-19.6232,208.793,29.9832,1932.95,0.866172,"01:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",89.8422,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","7e28bdcb-f257-4dba-a540-8b2fcf2457db",8,"2026-02-13","2026-02-13 10:18:52",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"ChangeUp","Live",NA,NA,83.4709,-1.80383,-2.75354,2278.86,275.996,"03:15:00",5.39535,2.46208,5.5062,-44.4664,-2.32839,22.1681,6e-04,1.73267,74.2316,-10.1788,1.47366,0.467206,-13.0059,-0.53411,-2.23624,50,5.2093,5.1193,-120.895,-5.20619,-18.4804,32.3153,-32.933,NA,40.7654,1725.99,0.75739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",80.6763,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","b3724017-c96c-4677-90c9-3636cb50661a",9,"2026-02-13","2026-02-13 10:19:13",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"Fastball","Live",NA,NA,92.3229,-1.82883,-3.3306,2296.56,219.365,"01:15:00",5.64185,1.89741,6.60063,-19.1109,13.752,11.3007,2.37071,-0.21504,81.7278,-5.52223,-1.14161,0.412595,-7.57654,8.37139,-1.67521,50,5.50932,7.47756,-133.998,-4.82784,-13.2954,38.3471,-17.4838,206.138,28.7661,2013.15,0.876592,"12:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",91.3545,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
"Jean Robles","932acc94-ed8c-4355-953c-cdcc09a207f6",10,"2026-02-13","2026-02-13 10:19:29",821005,"Right","NAT_NAT2",NA,NA,NA,NA,"Slider","Live",NA,NA,77.5506,1.50511,-0.522877,2278.06,74.874,"08:30:00",5.34828,2.51725,5.16295,-54.4629,-5.58523,-20.5236,2.22651,0.31488,69.5988,-8.67457,-4.38542,0.503184,10.6766,-3.50696,-2.45352,50,5.44858,1.66387,-112.47,1.26373,13.2725,25.9981,-36.5337,52.7048,54.6593,1317.72,0.578438,"07:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e2d0fad3-0807-49aa-96ae-c460a7abea68",74.9079,"Pitching",22170003,555185,15452,"2026-02-13 15:32:44"
